D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
0:0,1:0,1:0,0:1,0:0,0:0,7:6,0:0,0:0,0:0,28:16,0:0,0:1,0:0,0:0,0:0,0:1,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 59 Hours Ago,4370
1:0,10:9,0:1,1:1,0:0,0:1,17:11,4:4,3:5,0:0,3:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,1:0,0:0,Updated : 22 Hours Ago,4370
2:3,3:1,25:25,6:4,0:0,15:9,0:3,0:0,3:2,0:1,0:1,1:0,0:1,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4370
0:0,0:3,24:21,2:4,12:8,4:9,0:0,0:0,5:8,0:0,0:0,2:1,2:6,0:0,0:0,0:0,0:0,0:0,14:7,0:0,0:0,1:1,1:1,0:0,0:0,0:0,Updated : 83 Hours Ago,4370
5:4,7:9,1:2,10:5,3:2,1:2,18:15,29:28,1:3,9:5,12:8,1:2,2:4,0:0,0:0,2:1,0:0,5:5,6:2,3:7,0:0,0:0,2:1,0:0,3:0,0:0,Updated : Just Now,4370
0:0,0:0,10:8,0:0,0:0,0:0,0:1,0:0,2:4,0:0,0:1,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:4,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 12 Hours Ago,4369
0:0,10:11,0:2,0:0,0:0,0:0,1:1,15:11,0:0,1:1,7:4,0:0,0:1,0:0,0:0,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 31 Min. Ago,4369
0:0,15:5,2:0,2:2,0:0,0:0,18:8,5:1,0:0,0:0,4:2,0:0,4:2,0:0,0:0,3:0,0:0,8:1,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,Updated : 9 Hours Ago,4369
1:1,15:10,1:0,2:2,4:2,0:1,6:7,14:13,5:4,1:1,11:7,0:0,2:2,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 82 Hours Ago,4369
0:2,33:21,6:5,8:5,1:0,1:0,2:3,1:0,20:11,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4369
